ProductKey,CurrencyAlternateKey,FIRST_NAME,LAST_NAME,OrderDateKey,OrderQuantity,UnitPrice,SecretCode
310,CAD,Cole,Watson,20101229,1,3578.27,19F67D2022
346,FRF,Rachael,Martinez,20101229,1,3399.99,CA0840B749
346,USD,Sydney,Wright,20101229,1,3399.99,EB85E83D62
336,USD,Ruben,Prasad,20101229,1,699.0982,F118D38FC2
346,AUD,Christy,Zhu,20101229,1,3399.99,A1EDD493AB
311,USD,Colin,Anand,20101230,1,3578.27,586EA9C039
310,AUD,Albert,Alvarez,20101230,1,3578.27,EEC7DF7E85
351,AUD,Julio,Ruiz,20101230,1,3374.99,FC08B9E245
344,AUD,Curtis,Lu,20101230,1,3399.99,FA5F6E5D5D
312,USD,Edward,Brown,20101231,1,3578.27,A5926FE1C7
312,USD,Emma,Brown,20101231,1,3578.27,38D9F91942
330,GBP,Brad,Deng,20101231,1,699.0982,E2ACF3F8E9
313,AUD,Martha,Xu,20101231,1,3578.27,C0280C3A8C
314,AUD,Katrina,Raji,20101231,1,3578.27,8692DC5378
314,USD,Courtney,Edwards,20110101,1,3578.27,5237C6B5AB
311,DEM,Abigail,Henderson,20110101,1,3578.27,BCFACB2D18
310,USD,Sydney,Rogers,20110102,1,3578.27,FD4D95B4AC
311,GBP,Latasha,Alonso,20110102,1,3578.27,9F162C70D7
314,AUD,Warren,Jai,20110102,1,3578.27,8042421CE6
311,AUD,Jonathon,Gutierrez,20110102,1,3578.27,B5BEE555C0
336,AUD,Alexandra,Watson,20110102,1,699.0982,4795035CE4
311,USD,Kevin,Gonzalez,20110103,1,3578.27,F137EDD564
312,USD,Lucas,Hill,20110103,1,3578.27,331060C49F
311,DEM,Melanie,Sanchez,20110103,1,3578.27,E0E7073851
310,GBP,Louis,Xie,20110103,1,3578.27,F9A74329B6
312,GBP,Albert,Blanco,20110104,1,3578.27,D76EF9AAA3
332,USD,Bonnie,Xu,20110104,1,699.0982,4C206903C0
311,AUD,Misty,Raji,20110104,1,3578.27,258B1281E3
311,DEM,Anne,Dominguez,20110105,1,3578.27,BEB6D96629
332,USD,Kelvin,Huang,20110105,1,699.0982,237C9C965B
311,AUD,Logan,Gonzales,20110105,1,3578.27,1D1A577CAC
313,USD,Alyssa,Garcia,20110106,1,3578.27,B26344A79D
346,GBP,Mayra,Prasad,20110106,1,3399.99,D3D6C23BDD
346,USD,Garrett,Cooper,20110106,1,3399.99,E8D446B3C3
