ProductKey|CurrencyAlternateKey|Customer_Name|OrderDateKey|OrderQuantity|UnitPrice|SecretCode
310|CAD|"Watson,Cole"|20101229|1|3578,27|
346|FRF|"Martinez,Rachael"|20101229|1|3399,99|
346|USD|"Wright,Sydney"|20101229|1|3399,99|
336|USD|"Prasad,Ruben"|20101229|1|699,0982|
346|AUD|"Zhu,Christy"|20101229|1|3399,99|
311|USD|"Anand,Colin"|20101230|1|3578,27|
310|AUD|"Alvarez,Albert"|20101230|1|3578,27|
351|AUD|"Ruiz,Julio"|20101230|1|3374,99|
344|AUD|"Lu,Curtis"|20101230|1|3399,99|
312|USD|"Brown,Edward"|20101231|1|3578,27|
312|USD|"Brown,Emma"|20101231|1|3578,27|
330|GBP|"Deng,Brad"|20101231|1|699,0982|
313|AUD|"Xu,Martha"|20101231|1|3578,27|
314|AUD|"Raji,Katrina"|20101231|1|3578,27|
314|USD|"Edwards,Courtney"|20110101|1|3578,27|
311|DEM|"Henderson,Abigail"|20110101|1|3578,27|
310|USD|"Rogers,Sydney"|20110102|1|3578,27|
311|GBP|"Alonso,Latasha"|20110102|1|3578,27|
314|AUD|"Jai,Warren"|20110102|1|3578,27|
311|AUD|"Gutierrez,Jonathon"|20110102|1|3578,27|
336|AUD|"Watson,Alexandra"|20110102|1|699,0982|
311|USD|"Gonzalez,Kevin"|20110103|1|3578,27|
312|USD|"Hill,Lucas"|20110103|1|3578,27|
311|DEM|"Sanchez,Melanie"|20110103|1|3578,27|
310|GBP|"Xie,Louis"|20110103|1|3578,27|
312|GBP|"Blanco,Albert"|20110104|1|3578,27|
332|USD|"Xu,Bonnie"|20110104|1|699,0982|
311|AUD|"Raji,Misty"|20110104|1|3578,27|
311|DEM|"Dominguez,Anne"|20110105|1|3578,27|
332|USD|"Huang,Kelvin"|20110105|1|699,0982|
311|AUD|"Gonzales,Logan"|20110105|1|3578,27|
313|USD|"Garcia,Alyssa"|20110106|1|3578,27|
346|GBP|"Prasad,Mayra"|20110106|1|3399,99|
346|USD|"Cooper,Garrett"|20110106|1|3399,99|
314|AUD|"Zheng,Rosa"|20110106|1|3578,27|
350|AUD|"Beck,Alejandro"|20110106|1|3374,99|
312|USD|"Cook,Patrick"|20110106|1|3578,27|
312|USD|"Brooks,Richard"|20110107|1|3578,27|
310|AUD|"Pal,Casey"|20110107|1|3578,27|
346|AUD|"Torres,Ruben"|20110107|1|3399,99|
311|DEM|"Andersen,Lindsey"|20110108|1|3578,27|
312|FRF|"Ramos,Melody"|20110108|1|3578,27|
310|GBP|"Sai,Phillip"|20110108|1|3578,27|
312|AUD|"Arun,Cory"|20110108|1|3578,27|
310|USD|"Martinez,Jeremiah"|20110109|1|3578,27|
314|GBP|"Lal,Tamara"|20110109|1|3578,27|
347|AUD|"Mehta,Marco"|20110109|1|3399,99|
313|AUD|"Ward,Haley"|20110109|1|3578,27|
311|AUD|"Fernandez,Manuel"|20110110|1|3578,27|
312|AUD|"Liang,Kelvin"|20110110|1|3578,27|
314|USD|"Jackson,Christian"|20110111|1|3578,27|
313|USD|"Hughes,Alexandria"|20110111|1|3578,27|
314|USD|"Murphy,Paige"|20110111|1|3578,27|
311|FRF|"Lu,Stacey"|20110111|1|3578,27|
313|FRF|"Raji,Darrell"|20110111|1|3578,27|
311|DEM|"Adams,Luke"|20110111|1|3578,27|
310|AUD|"Arthur,Tabitha"|20110111|1|3578,27|
312|USD|"Phillips,Morgan"|20110112|1|3578,27|
311|USD|"Long,Kayla"|20110112|1|3578,27|
332|GBP|"Liang,Cedric"|20110112|1|699,0982|
350|AUD|"Wang,Shannon"|20110112|1|3374,99|
310|USD|"Li,Jackson"|20110113|1|3578,27|
310|DEM|"Chander,Jon"|20110113|1|3578,27|
314|AUD|"Gao,Tiffany"|20110113|1|3578,27|
310|AUD|"Fernandez,Brenda"|20110113|1|3578,27|
314|USD|"Carter,Courtney"|20110114|1|3578,27|
313|AUD|"Liang,Martha"|20110114|1|3578,27|
310|AUD|"Ashe,Ebony"|20110114|1|3578,27|
346|AUD|"Suarez,Jacquelyn"|20110114|1|3399,99|
313|AUD|"Holt,Krystal"|20110115|1|3578,27|
350|AUD|"Huang,Eugene"|20110115|1|3374,99|
312|USD|"Bailey,Evan"|20110116|1|3578,27|
312|CAD|"Jenkins,Gabrielle"|20110116|1|3578,27|
312|USD|"Ye,Warren"|20110116|1|3578,27|
330|USD|"Washington,Ashley"|20110116|1|699,0982|
312|AUD|"Huang,Damien"|20110116|1|3578,27|
314|AUD|"Perez,Arthur"|20110116|1|3578,27|
313|AUD|"Raman,Roy"|20110116|1|3578,27|
347|AUD|"Zhao,Jessie"|20110116|1|3399,99|
314|DEM|"Flores,James"|20110117|1|3578,27|
311|AUD|"Sai,Troy"|20110117|1|3578,27|
345|AUD|"Rai,Clarence"|20110117|1|3399,99|
326|AUD|"Zhang,Warren"|20110117|1|699,0982|
311|FRF|"Diaz,Melody"|20110118|1|3578,27|
312|AUD|"Ramos,Monique"|20110118|1|3578,27|
312|AUD|"She,Melvin"|20110118|1|3578,27|
312|AUD|"Thompson,Cameron"|20110118|1|3578,27|
310|USD|"Sanchez,Jessica"|20110119|1|3578,27|
311|FRF|"Raman,Ivan"|20110119|1|3578,27|
311|FRF|"Moreno,Clinton"|20110119|654|3578,27|
344|DEM|"Lal,Don"|20110119|1|3399,99|
351|GBP|"Goel,Latoya"|20110119|1|3374,99|
351|USD|"Butler,Tristan"|20110119|1|3374,99|
344|USD|"Perry,Abigail"|20110119|1|3399,99|
314|AUD|"Lal,Dustin"|20110119|1|3578,27|
312|AUD|"Lal,Andres"|20110119|1|3578,27|
344|AUD|"Yang,Jon"|20110119|1|3399,99|
347|AUD|"Moreno,Jimmy"|20110119|1|3399,99|
312|USD|"Henderson,Maria"|20110120|1|3578,27|
342|FRF|"Gomez,Jaime"|20110120|1|699,0982|
312|AUD|"Ramos,Francis"|20110120|1|3578,27|
310|AUD|"She,Tonya"|20110120|1|3578,27|
312|AUD|"Gomez,Danny"|20110120|1|3578,27|
311|CAD|"Gonzales,Brittany"|20110121|1|3578,27|
311|GBP|"Butler,Blake"|20110121|1|3578,27|
312|FRF|"Moreno,Armando"|20110121|1|3578,27|
314|CAD|"Sanders,Alexa"|20110122|1|3578,27|
310|GBP|"Morris,Savannah"|20110122|1|3578,27|
328|USD|"Hernandez,Samuel"|20110122|1|699,0982|
312|AUD|"Huang,Sandra"|20110122|1|3578,27|
312|FRF|"Lin,Ernest"|20110123|1|3578,27|
313|DEM|"Garcia,Allen"|20110123|1|3578,27|
310|AUD|"Thompson,Fernando"|20110123|1|3578,27|
345|AUD|"Johnson,Elizabeth"|20110123|1|3399,99|
346|AUD|"Sai,Harold"|20110123|1|3399,99|
312|USD|"Zheng,Bianca"|20110124|1|3578,27|
350|FRF|"Suri,Frederick"|20110124|1|3374,99|
350|USD|"Perry,Tristan"|20110124|1|3374,99|
311|AUD|"Simmons,Jordyn"|20110124|1|3578,27|
314|AUD|"Tang,Dawn"|20110124|1|3578,27|
310|AUD|"Chander,Yolanda"|20110124|1|3578,27|
312|AUD|"Garcia,Dominique"|20110124|1|3578,27|
346|AUD|"Alvarez,Janet"|20110124|1|3399,99|
312|USD|"Murphy,Jeremy"|20110125|1|3578,27|
310|USD|"Collins,Aaron"|20110125|1|3578,27|
313|USD|"Allen,Katelyn"|20110125|1|3578,27|
342|GBP|"Navarro,Armando"|20110125|1|699,0982|
338|USD|"Truempy,Marcel"|20110125|1|699,0982|
313|AUD|"Sai,Levi"|20110125|1|3578,27|
348|AUD|"Verhoff,Rob|20110125|1|3374,99|
338|AUD|"Walker,Anthony"|20110125|1|699,0982|
310|USD|"Martinez,Miguel"|20110126|1|3578,27|
310|USD|"Edwards,Jack"|20110126|1|3578,27|
311|AUD|"Sharma,Raul"|20110126|1|3578,27|
349|AUD|"Jimenez,Jill"|20110126|1|3374,99|
310|GBP|"Cox,Isaiah"|20110126|1|3578,27|
310|CAD|"Flores,Arianna"|20110127|1|3578,27|
348|FRF|"Zheng,Ramon"|20110127|1|3374,99|
348|CAD|"James,Sara"|20110127|1|3374,99|
324|CAD|"Green,Isabella"|20110127|1|699,0982|
350|AUD|"Carlson,Shannon"|20110127|1|3374,99|
313|USD|"Alexander,Miranda"|20110128|1|3578,27|
311|USD|"Young,Jennifer"|20110128|1|3578,27|
326|FRF|"Yuan,Misty"|20110128|1|699,0982|
314|DEM|"Jiménez,Craig"|20110128|1|3578,27|
312|AUD|"Sutton,Jaime"|20110128|1|3578,27|
313|CAD|"Morris,Paige"|20110129|1|3578,27|
314|FRF|"Gill,Brandi"|20110129|1|3578,27|
313|USD|"Taylor,Justin"|20110129|1|3578,27|
313|AUD|"Stewart,Ariana"|20110129|1|3578,27|
